gene_ids,Malignant,MG/Mp,ILC/gdT,CD4,Oligodendrocytes,Treg,CD8,DC,etc.,Neutrophils
ENSG00000069424,0.022968248,0.028193243,0.16819084,0.15006231,0.0042978604,0.17183812,0.13887042,0.016025614,0.017889159,0.41519713
ENSG00000116254,0.018068831,0.0013471468,0.015251754,0.0032253598,0.0017478878,0.11451209,0.0040114797,0.051456712,0.043399945,0.02450425
ENSG00000116251,3.245895,3.0846012,3.6442192,4.6041265,1.607672,3.901884,3.114431,1.0554256,2.4407742,6.7784877
ENSG00000158286,0.07228651,0.003909793,0.12740342,0.020575292,0.002966646,0.4308476,0.010654654,0.3681326,0.20461145,0.2811733
ENSG00000116237,0.06959417,0.02268182,0.013231026,0.010619393,0.042997006,0.059311565,0.016875003,0.04263438,0.012891083,0.01465394
ENSG00000158292,0.25634426,0.004694707,0.29863256,0.035230927,0.016094562,0.60303545,0.092001855,0.5739062,0.29807433,0.40913543
ENSG00000097021,0.054494716,0.003630684,0.07171204,0.015590632,0.14884168,0.044490404,0.018373163,0.018593077,0.022026857,0.0099149225
ENSG00000271746,0.013630184,0.008371043,0.019820102,0.009644872,0.011323915,0.089145005,0.005103295,0.023299411,0.026267573,0.020369165
ENSG00000069812,0.095782846,0.0027233656,0.15358081,0.006924766,0.011374193,0.48502237,0.029262973,0.49732396,0.14666505,0.22659798
ENSG00000187017,0.60098785,0.0077549615,0.4762504,0.13176106,0.06685703,0.81113094,0.2606833,0.6259619,0.5598316,0.3529628
ENSG00000215788,0.015187573,0.008786088,0.05822934,0.17156564,0.0012401381,0.29056653,0.06176311,0.031201262,0.038088914,0.010343351
ENSG00000171680,0.005378833,0.0161259,0.0058299354,0.004174444,0.0013285087,0.031431418,0.00953588,0.030002117,0.016827224,0.01267286
ENSG00000162408,0.13098882,0.03991095,0.04886689,0.05248638,0.07564204,0.0830354,0.026043134,0.084927246,0.04644013,0.06025937
ENSG00000173662,0.15808891,0.0068269665,0.3013424,0.020501599,0.00923554,0.51694626,0.045249727,0.68335724,0.29311997,0.28499234
ENSG00000204859,0.063438274,0.016112205,0.011784265,0.015586784,0.022049198,0.036877573,0.012484647,0.0129195,0.036880393,0.0324555
ENSG00000162413,0.024480574,0.036919042,0.0074445824,0.045077812,0.12591146,0.065201506,0.024717972,0.022118751,0.084117875,0.09870892
ENSG00000116273,0.04795382,0.028919255,0.008499238,0.015709722,0.10781527,0.019197963,0.011941487,0.016644632,0.020758405,0.022266231
ENSG00000041988,0.075803496,0.013843605,0.030434642,0.0055210204,0.07629551,0.019914446,0.014469361,0.04937085,0.014475532,0.010471279
ENSG00000007923,0.083201796,0.045145195,0.054902457,0.023465943,0.057084832,0.020309644,0.04065157,0.1308747,0.029658353,0.04828411
ENSG00000228750,0.40078002,0.05625424,0.5094489,0.33376077,0.26093012,0.5030058,0.41988355,0.86820537,0.92917514,0.53270125
ENSG00000284744,0.17712635,0.0061064116,0.34568697,0.02843868,0.014950011,0.7295323,0.040930156,0.46570522,0.32970744,0.31832698
ENSG00000237436,0.0048871636,0.007866791,0.011600391,0.0021960137,0.0037371032,0.018410012,0.0032651545,0.02318831,0.017863354,0.029515225
ENSG00000171735,0.8143379,0.3402955,0.15670754,0.15437418,0.51722634,0.14053552,0.123198204,0.29187176,0.2158129,0.3664809
ENSG00000270171,0.37899438,0.07353778,0.7125401,0.20890953,0.30155095,0.50515175,0.27358082,0.73687726,0.6457591,0.3314727
ENSG00000270035,0.44617313,0.114274256,0.4500512,0.39928016,0.33038658,0.8546614,0.402475,0.43238556,0.5083454,0.30692568
ENSG00000269978,0.37153637,0.033871677,0.44765887,0.2902922,0.1630552,0.40884826,0.3562987,0.66674733,0.5698748,0.4750171
ENSG00000049245,0.10906174,0.30056283,0.08523397,0.054232173,0.81895816,0.111874595,0.06946684,0.18839374,0.12627096,0.494743
ENSG00000049246,0.10096041,0.058576155,0.036703646,0.02074636,0.2485813,0.043889206,0.011332063,0.12518209,0.022462089,0.029580012
ENSG00000236266,0.10967678,0.005492034,0.26316485,0.018273871,0.0061846133,0.5383265,0.038236726,0.54290754,0.25496843,0.36773035
ENSG00000049247,0.0049904296,0.0009369017,0.02049546,0.002841929,0.0028949524,0.1707838,0.008374551,0.073509194,0.039311215,0.031328283
ENSG00000049249,0.007321561,0.009058115,0.09435126,0.10095761,0.0017137507,1.0793043,0.16922776,0.018954031,0.2113631,0.021936502
ENSG00000116288,0.8298433,0.44829482,0.48095047,0.98092884,0.85383695,1.401605,0.846218,0.17882669,0.2223859,0.9655651
ENSG00000284747,0.028268088,0.003024148,0.033069868,0.0031932767,0.004670031,0.39856127,0.0077590887,0.2660862,0.11756823,0.07000571
ENSG00000284716,0.015360851,0.0009361062,0.017509304,0.003798996,0.028380338,0.29356718,0.0066031907,0.16010593,0.08835495,0.045305744
ENSG00000116285,0.22881888,0.03878533,0.023344807,0.1020617,0.2149136,0.09463033,0.08683879,0.08232917,0.06121432,0.10384902
ENSG00000238290,0.1004193,0.0043787854,0.2100204,0.010393059,0.00839561,0.36587992,0.01992259,0.56472427,0.27083692,0.2091332
ENSG00000162426,0.015282545,0.00085427886,0.0057858,0.0026178008,0.02969794,0.05176549,0.0018541929,0.032214798,0.014472344,0.010081375
ENSG00000142599,0.3256739,0.3543557,0.11488059,0.16068031,0.5248997,0.25443003,0.09753081,1.4175284,0.12417847,0.18713894
ENSG00000232912,0.1929146,0.0031345664,0.1957507,0.024684766,0.010004386,0.5014606,0.047720082,0.6566653,0.31774178,0.31968638
ENSG00000074800,1.3059596,0.712722,0.6018055,0.9806327,1.146857,1.3880252,0.7630438,0.23959805,0.6156015,3.1849012
ENSG00000230679,0.3544742,0.009504967,0.19303669,0.038444977,0.029826075,0.4519855,0.08131346,0.64080215,0.3674091,0.37788144
ENSG00000131686,0.5550969,0.11797184,0.5775757,0.26575488,0.3436028,0.8645203,0.3972663,0.7629069,0.7399309,0.46468368
ENSG00000142583,0.005479557,0.5405016,0.08756888,0.0019683598,0.045567807,0.024316557,0.0023418667,0.9224711,0.022907207,0.019885706
ENSG00000180758,0.0069172024,0.014630922,0.015812369,0.0038619873,0.002992484,0.058377795,0.004589179,0.06173773,0.02615802,0.038663283
ENSG00000228526,0.019492585,0.035948012,0.010258894,0.004689561,0.002727764,0.053692807,0.008906615,0.15184474,0.08166275,0.012344145
ENSG00000234546,0.124431945,0.01102005,0.23459564,0.018430624,0.0072250143,0.55062187,0.033315115,0.6258108,0.4931861,0.31289232
ENSG00000049239,0.06822799,0.07786027,0.051196292,0.024687916,0.071975045,0.03355373,0.02918919,0.036764696,0.025440369,0.10444774
